t_s,V_volts,i_medido_A,w_medido_rad_s,i_verdadeiro_A,w_verdadeiro_rad_s
0.018200,12.000000,9.169922,15.339808,9.169765,26.442533
0.018400,12.000000,9.147949,30.679616,9.158658,26.770742
0.018600,12.000000,9.147949,30.679616,9.147473,27.098529
0.018800,12.000000,9.082031,30.679616,9.136214,27.425891
0.019000,12.000000,9.082031,15.339808,9.124889,27.752825
0.019200,12.000000,9.074707,30.679616,9.113502,28.079330
0.019400,12.000000,9.074707,30.679616,9.102060,28.405402
0.019600,12.000000,9.104004,30.679616,9.090565,28.731041
0.019800,12.000000,9.052734,30.679616,9.079024,29.056245
0.020000,12.000000,9.052734,30.679616,9.067440,29.381011
0.020200,12.000000,9.096680,30.679616,9.055817,29.705339
0.020400,12.000000,9.030762,30.679616,9.044159,30.029227
0.020600,12.000000,9.052734,30.679616,9.032469,30.352675
0.020800,12.000000,8.994141,30.679616,9.020750,30.675680
0.021000,12.000000,9.001465,30.679616,9.009006,30.998242
0.021200,12.000000,8.972168,30.679616,8.997239,31.320360
0.021400,12.000000,8.972168,30.679616,8.985452,31.642034
0.021600,12.000000,9.001465,30.679616,8.973648,31.963262
0.021800,12.000000,8.913574,30.679616,8.961827,32.284045
0.022000,12.000000,8.964844,30.679616,8.949994,32.604381
0.022200,12.000000,8.942871,30.679616,8.938149,32.924271
0.022400,12.000000,8.906250,30.679616,8.926295,33.243714
0.022600,12.000000,8.869629,30.679616,8.914433,33.562709
0.022800,12.000000,8.906250,46.019424,8.902565,33.881257
0.023000,12.000000,8.876953,30.679616,8.890692,34.199357
0.023200,12.000000,8.884277,30.679616,8.878817,34.517009
0.023400,12.000000,8.869629,30.679616,8.866939,34.834214
0.023600,12.000000,8.906250,46.019424,8.855061,35.150970
0.023800,12.000000,8.833008,30.679616,8.843183,35.467279
0.024000,12.000000,8.803711,30.679616,8.831307,35.783139
0.024200,12.000000,8.825684,46.019424,8.819434,36.098553
0.024400,12.000000,8.811035,30.679616,8.807564,36.413518
0.024600,12.000000,8.833008,30.679616,8.795699,36.728036
0.024800,12.000000,8.811035,46.019424,8.783839,37.042107
0.025000,12.000000,8.781738,30.679616,8.771985,37.355731
0.025200,12.000000,8.803711,46.019424,8.760137,37.668909
0.025400,12.000000,8.715820,30.679616,8.748297,37.981640
0.025600,12.000000,8.715820,46.019424,8.736465,38.293925
0.025800,12.000000,8.693848,30.679616,8.724642,38.605764
0.026000,12.000000,8.701172,46.019424,8.712828,38.917157
0.026200,12.000000,8.657227,30.679616,8.701023,39.228106
0.026400,12.000000,8.708496,46.019424,8.689229,39.538610
0.026600,12.000000,8.671875,30.679616,8.677445,39.848670
0.026800,12.000000,8.620605,46.019424,8.665672,40.158286
